id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
472858,Habitación en acogedor apartamento,2345188,Joana,ALGIROS,CIUTAT JARDI,39.47409,-0.34397,Private room,20,3,10,2018-09-11,0.23,2,333
472984,//Alojamiento + bici en Valencia 1 ///,2345707,Laia,ALGIROS,LA CARRASCA,39.47544,-0.34452,Private room,22,3,40,2017-06-23,0.49,1,176
476415,Sun Apartment Valencia  @ With Balcony & Parking,2361433,Raúl,CAMINS AL GRAU,PENYA-ROJA,39.46118,-0.35395,Entire home/apt,70,2,4,2019-01-01,0.18,2,153
478752,Art Inspired Loft Apartment with Balcony,2370939,María,CAMPANAR,SANT PAU,39.49009,-0.40336,Entire home/apt,75,3,161,2018-12-23,1.96,1,270
480180,Cozy flat Valencia super center 1-2,713025,Violeta,CIUTAT VELLA,SANT FRANCESC,39.47184,-0.37625,Entire home/apt,100,3,12,2017-08-30,0.15,8,339
480218,Cozy flat in Valencia center 1-3p,713025,Violeta,CIUTAT VELLA,SANT FRANCESC,39.47047,-0.37641,Entire home/apt,120,3,13,2018-09-01,0.16,8,48
487638,BRIGHT APARTMENT IN THE CENTER,2042597,Carmen,L'EIXAMPLE,EL PLA DEL REMEI,39.46929,-0.36488,Entire home/apt,75,2,60,2019-01-06,0.76,1,168
487639,Modren studio in Valencia's beach,2351355,Immaculada,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47428,-0.32801,Shared room,55,2,83,2018-09-27,1.24,1,111
491152,Gorgeus apartment in Valencia,2345188,Joana,ALGIROS,CIUTAT JARDI,39.47351,-0.34618,Private room,20,1,24,2019-02-12,0.31,2,358
491295,2 Bedroom Apartment near the beach,2428435,Xud,POBLATS MARITIMS,LA MALVA-ROSA,39.47524,-0.32821,Entire home/apt,79,6,16,2018-08-23,0.20,1,58
493409,Valencia - Duplex de 5 habitaciones,2437757,Carmen,CAMINS AL GRAU,AIORA,39.46331,-0.33924,Entire home/apt,225,3,8,2018-08-06,0.25,1,48
503545,B&B Aguila Nova: big room with double bed,2483556,Aline,PATRAIX,PATRAIX,39.46134,-0.39084,Private room,20,2,66,2019-01-13,0.83,4,53
508758,Centrico   a estrenar en Valencia,2507964,Rosa,EXTRAMURS,LA PETXINA,39.47106,-0.38752,Private room,45,2,2,2018-10-14,0.17,1,340
522347,LAST ANTI- CRISIS PRICE ROOM BALCON,2751768,Maryel,CIUTAT VELLA,LA SEU,39.47518,-0.37514,Private room,29,2,327,2019-02-12,4.11,2,207
524523,"Single room near Mestalla, University & Old Town",140702,Miguel&Gemma,EL PLA DEL REAL,EXPOSICIO,39.4768,-0.3635,Private room,24,2,163,2019-02-10,2.04,3,331
526255,Penthouse in the city center,2586809,Raúl,LA SAIDIA,MORVEDRE,39.48285,-0.37891,Entire home/apt,45,3,145,2019-01-05,1.89,1,142
530706,Céntrico y acogedor apartamento new WIFI,2605658,Carolina,CIUTAT VELLA,EL PILAR,39.47232,-0.38093,Entire home/apt,65,1,50,2019-02-13,0.61,1,158
536189,Located 100 meters from the beach,2634543,Raul,POBLATS MARITIMS,LA MALVA-ROSA,39.48089,-0.32654,Entire home/apt,50,2,14,2016-08-07,0.35,1,162
538813,Crisis Price! Apt.great wiews 39€,1512611,Lula & Luna,ALGIROS,LA CARRASCA,39.4797,-0.35263,Entire home/apt,49,4,19,2019-01-31,0.24,10,309
538964,CASA  EN LA PLAYA DE VALENCIA,2647255,Jose Luis,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47464,-0.32709,Entire home/apt,100,3,0,,,1,150
542794,"Apartment, Valencia Center.",2668795,Gabriel,EXTRAMURS,LA ROQUETA,39.46447,-0.38021,Entire home/apt,59,15,98,2018-10-06,1.21,2,68
545639,IMPOSSIBLE OVER CENTRAL,2682081,Esteban,L'EIXAMPLE,EL PLA DEL REMEI,39.46808,-0.37298,Private room,35,2,28,2019-01-30,0.50,3,61
547590,BONITO APARTAMENTO EN VALENCIA,2691959,Guillermo,CAMINS AL GRAU,PENYA-ROJA,39.45895,-0.345,Entire home/apt,75,3,29,2019-02-10,0.41,1,355
549738,"COZY  ROOM    ""  ORCHIDS """,2682081,Esteban,L'EIXAMPLE,EL PLA DEL REMEI,39.46844,-0.37218,Private room,35,2,34,2018-09-24,0.57,3,46
550630,Beautiful apartment in Valencia,2706384,Angel,EXTRAMURS,ARRANCAPINS,39.46702,-0.38446,Entire home/apt,62,2,10,2019-02-21,0.15,1,137
551884,05.Negrito I Casco Antiguo,2711989,Like Apartments,CIUTAT VELLA,LA SEU,39.47694,-0.37708,Entire home/apt,45,1,45,2019-02-10,0.56,28,316
556620,Cozy room in the center,2736688,Begoña,LA SAIDIA,TRINITAT,39.48461,-0.36856,Private room,16,4,65,2018-08-27,1.13,3,149
556631,The Library - Old Valencian House,1917691,Lorenzo,CIUTAT VELLA,EL PILAR,39.47205,-0.38189,Entire home/apt,71,2,70,2018-12-04,1.02,1,281
557514,Green room wants you to be happy,2741029,Ana,ALGIROS,CIUTAT JARDI,39.47037,-0.34425,Private room,45,1,1,2017-03-02,0.04,1,364
558480,01.Negrito II Casco Antiguo,2711989,Like Apartments,CIUTAT VELLA,LA SEU,39.47656,-0.37791,Entire home/apt,45,1,4,2019-02-07,0.05,28,330
558778,Apartamento para viajeros muy exigentes.,2404140,Adriana,L'EIXAMPLE,RUSSAFA,39.46321,-0.36776,Entire home/apt,150,3,4,2019-01-02,0.21,3,350
579273,Mercat Central Apartment wifi+bikes,2849128,Ferran,CIUTAT VELLA,SANT FRANCESC,39.4708,-0.38262,Entire home/apt,41,2,133,2019-02-25,1.99,1,278
587429,APPARTMENT IN CIUDAD DE LAS CIENCIAS,2897038,Concha & Jose,QUATRE CARRERES,MONT-OLIVET,39.45958,-0.36478,Entire home/apt,43,3,171,2019-02-03,2.16,2,16
588848,Charming Loft Studio - So Central,1240766,Jessica Mary,EXTRAMURS,LA ROQUETA,39.46731,-0.37992,Entire home/apt,50,2,163,2019-02-26,2.03,6,141
589007,C/Denia !AMAZING VIEWS! WIFI AIRCO,1240766,Jessica Mary,L'EIXAMPLE,RUSSAFA,39.4628,-0.37602,Entire home/apt,48,2,162,2019-02-27,2.05,6,137
595233,Valencia desing new loft lake view.,2940808,Juan,CAMPANAR,SANT PAU,39.4743,-0.40862,Entire home/apt,39,2,182,2019-02-01,2.51,1,204
607073,Mazing flat in valencia,3007632,Emanuel,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47274,-0.32932,Private room,120,5,0,,,1,365
612457,CENTRO DE VALENCIA.PLAZA DE TOROS,806645,Maria Jesus,EXTRAMURS,LA ROQUETA,39.46672,-0.37911,Entire home/apt,35,1,103,2019-02-01,1.29,8,283
620433,Heart of old Town - Corona Moderna,1240766,Jessica Mary,CIUTAT VELLA,EL CARME,39.47898,-0.38316,Entire home/apt,60,2,44,2019-01-06,0.56,6,134
633762,Apto Loft Torres de Serranos,3155089,Francisco,CIUTAT VELLA,LA SEU,39.47805,-0.3755,Entire home/apt,52,2,91,2019-02-12,1.32,12,154
643644,Charming flat in Ruzafa,3218281,Salvo,L'EIXAMPLE,RUSSAFA,39.46227,-0.37798,Entire home/apt,62,1,34,2019-01-27,0.47,1,7
652917,Piso bien situado y acondicionado,3282210,Juan,PATRAIX,SAFRANAR,39.46017,-0.39901,Private room,30,1,2,2017-03-19,0.06,1,363
657566,14.Lonja V Dúplex Centro,2711989,Like Apartments,CIUTAT VELLA,EL MERCAT,39.47608,-0.3792,Entire home/apt,45,1,11,2018-11-17,0.14,28,259
657794,HIP & CENTRAL APT+WIFI+2 BIKES,1145189,Maria,QUATRE CARRERES,EN CORTS,39.45643,-0.37432,Entire home/apt,62,2,134,2019-01-04,1.71,3,166
658275,Central twin exterior room balcony,347423,Pere,CIUTAT VELLA,SANT FRANCESC,39.47107,-0.37297,Private room,34,1,128,2019-01-22,1.88,3,133
658383,"Beach&Pool BIG PENTHOUSE, next to Valencia",3321668,Ricardo,POBLATS DEL NORD,RAFALELL-VISTABELLA,39.56084,-0.29009,Entire home/apt,60,3,17,2018-10-18,0.24,1,316
662934,HUGE APT - PRIVATE TERRACE,1240766,Jessica Mary,EXTRAMURS,LA ROQUETA,39.46983,-0.38299,Entire home/apt,120,5,21,2015-11-12,0.32,6,350
665208,Valencia beach charming apartment WI-FI,3361200,Santiago,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46721,-0.32721,Entire home/apt,59,6,34,2018-12-07,0.44,1,94
666386,Apartment Valencia near the sea,3369247,Maria Teresa,CAMINS AL GRAU,LA CREU DEL GRAU,39.46389,-0.34643,Entire home/apt,30,5,87,2018-12-03,1.10,1,185
666994,ABASTOS WITH LARGE PRIVATE TERRACE,3373818,Roberto,EXTRAMURS,ARRANCAPINS,39.46739,-0.38957,Entire home/apt,50,2,55,2016-11-24,0.71,1,4
671096,Bright room with private bathroom,3400551,Vincent,L'EIXAMPLE,RUSSAFA,39.46206,-0.37578,Private room,40,1,1,2018-03-19,0.09,1,88
672212,Ciudad de las Ciencias. Avenida del Puerto. Playa,3407749,Ada,POBLATS MARITIMS,EL GRAU,39.4586,-0.33802,Entire home/apt,85,4,0,,,1,62
672551,Centro Ciudad 5 Habitaciones 250m2.,3410950,Raquel,EXTRAMURS,EL BOTANIC,39.47404,-0.38558,Entire home/apt,195,2,144,2019-02-25,1.91,1,295
676386,BUHARDILLA DE LUJO CON GRAN TERRAZA,3437604,Vicent,CAMPANAR,LES TENDETES,39.48311,-0.38521,Entire home/apt,125,4,13,2017-06-11,0.32,6,287
681002,Ciudad de las Ciencias! Habitacion,3467642,Iriana,QUATRE CARRERES,CIUTAT DE LES ARTS I DE LES CIENCIES,39.45911,-0.35788,Private room,37,1,138,2019-02-11,1.91,2,199
681925,"Very Central, Stunning Views, Sunny Terrace, Wifi!",3462415,Manuel,CIUTAT VELLA,EL PILAR,39.47416,-0.38159,Entire home/apt,80,2,490,2019-02-14,6.27,1,213
682219,FALLA Apartment wifi & terrace next,219476,Toni,LA SAIDIA,SANT ANTONI,39.48763,-0.37592,Entire home/apt,55,3,54,2018-08-25,0.75,3,237
684439,13.Lonja IV Casco Antiguo,2711989,Like Apartments,CIUTAT VELLA,EL MERCAT,39.47531,-0.37852,Entire home/apt,59,1,12,2019-02-04,0.16,28,257
685153,"OFFER! Centrical, Clean and Terrace",1363520,Mª Angeles,QUATRE CARRERES,EN CORTS,39.4553,-0.37444,Entire home/apt,120,4,17,2017-10-01,0.24,1,156
688130,Beautiful 4 bedroom appartment WIFI,3512981,Mari Carmen,ALGIROS,L'AMISTAT,39.47246,-0.3535,Entire home/apt,115,2,43,2018-11-30,0.56,1,297
688405,Apartamento en centro de Valencia,3477002,Carmen,CIUTAT VELLA,SANT FRANCESC,39.46841,-0.37681,Entire home/apt,83,3,66,2018-08-23,0.91,1,0
693100,Rooms in downtown apartment of Valencia.,3545463,Anabel,CIUTAT VELLA,EL CARME,39.47744,-0.37766,Private room,40,2,3,2018-11-18,0.04,2,361
698472,Your nest in Valencia with wifi,3580428,Begoña Y Quique,POBLATS MARITIMS,EL GRAU,39.46204,-0.33498,Entire home/apt,48,3,169,2018-12-30,2.33,1,70
698779,"Bed&breakfast in Valencia.""RUSSAFA""",2747343,Rosa,L'EIXAMPLE,RUSSAFA,39.45971,-0.37143,Private room,30,1,58,2019-02-03,0.80,1,289
700051,"Double bed near Old Town. ""Abastos"" AA/wifi/tv",673381,Andrea,EXTRAMURS,LA PETXINA,39.46958,-0.38979,Private room,24,2,8,2016-06-20,0.11,1,15
714886,Golf course and beach flat+wifi,3701192,Adriana,POBLATS DEL SUD,EL PERELLONET,39.30509,-0.29351,Entire home/apt,45,2,71,2019-01-01,0.98,4,277
716081,Ático muy luminoso en Ruzafa,3690047,Macarena,L'EIXAMPLE,RUSSAFA,39.4607,-0.37628,Entire home/apt,95,31,9,2017-07-01,0.21,6,270
717770,"Correos Luxury Attic,great terrace!",3480461,Valencia Luxury,CIUTAT VELLA,SANT FRANCESC,39.47029,-0.37473,Entire home/apt,120,3,12,2018-11-12,0.21,74,270
719547,Nice apartment in Valencia´s beach,3204897,Jennifer,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47416,-0.32857,Entire home/apt,70,2,7,2018-07-01,0.10,1,349
720307,Bonito apartamento en pleno centro,3717753,Paul,EXTRAMURS,EL BOTANIC,39.47572,-0.38478,Entire home/apt,30,2,132,2019-02-11,1.91,1,104
723374,Purisima Penthouse,3480461,Valencia Luxury,CIUTAT VELLA,EL MERCAT,39.47466,-0.37727,Entire home/apt,180,3,13,2018-10-21,0.22,74,276
724380,"penthouse in the 16th S building ,",3744401,Jose,CIUTAT VELLA,EL MERCAT,39.4742,-0.3807,Entire home/apt,55,3,61,2018-12-06,1.31,2,73
730055,PLAZA ESPAÑA APT - flat for group!,3480461,Valencia Luxury,EXTRAMURS,ARRANCAPINS,39.46497,-0.38645,Entire home/apt,120,3,19,2018-03-19,0.45,74,321
730074,Ático Plaza Ayuntamiento XXI,3480461,Valencia Luxury,CIUTAT VELLA,SANT FRANCESC,39.4712,-0.3785,Entire home/apt,125,3,1,2015-04-10,0.02,74,324
733452,12.Lonja III Casco Antiguo,2711989,Like Apartments,CIUTAT VELLA,EL MERCAT,39.4746,-0.37827,Entire home/apt,59,1,26,2018-06-27,0.34,28,284
734123,Nice apartment sharing in Valencia,3826468,Arly,QUATRE CARRERES,MONT-OLIVET,39.45883,-0.3615,Private room,24,3,135,2018-04-02,1.85,1,119
737684,Hidromasaje.Aire acondicionado.Wifi gratis.8 pax.,3853341,Paloma.Grupo Nekorama,QUATRE CARRERES,MONT-OLIVET,39.45811,-0.36828,Entire home/apt,55,2,104,2019-02-25,5.37,2,127
739558,Calm Apartment in Valencia  VT-38435-V,3789085,Manuel Vicente,QUATRE CARRERES,MONT-OLIVET,39.45781,-0.36583,Entire home/apt,55,3,23,2019-01-31,0.42,1,224
739981,"Villa, pool, in front the beach",535881,Vicente,POBLATS MARITIMS,LA MALVA-ROSA,39.47956,-0.32654,Entire home/apt,1200,2,11,2015-07-02,0.14,8,363
742347,Cozy and beautiful room + 2 bikes,3886767,Belén,LA SAIDIA,MORVEDRE,39.4873,-0.37705,Private room,22,1,74,2016-10-17,0.97,2,74
