id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
478752,Art Apartment Ready to Live/pool/Luxury Residential,2370939,María,CAMPANAR,SANT PAU,39.49038,-0.40433,Entire home/apt,147,3,203,2021-12-12,1.75,1,326,12,VT-39935-V
480180,Cozy flat Valencia super center 1-2,713025,Alejandro,CIUTAT VELLA,SANT FRANCESC,39.47146,-0.37729,Entire home/apt,100,30,20,2020-03-20,0.17,8,274,0,VT-33100-V
480218,Cozy flat in Valencia center 1-3p,713025,Alejandro,CIUTAT VELLA,SANT FRANCESC,39.47146,-0.37729,Entire home/apt,120,30,17,2021-10-31,0.15,8,261,2,VT-33100-V
491152,Gorgeus apartment in Valencia,2345188,Joana,ALGIROS,LA CARRASCA,39.47572,-0.34406,Private room,20,1,30,2020-03-14,0.27,3,298,0,
491295,2 Bedroom Apartment near the beach,2428435,Xud,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47439,-0.32646,Entire home/apt,75,3,25,2021-08-28,0.22,1,0,5,
493409,Valencia - Duplex de 5 habitaciones,2437757,Carmen,CAMINS AL GRAU,AIORA,39.46292,-0.33927,Entire home/apt,239,2,18,2021-08-27,0.27,1,62,4,
503545,B&B Aguila Nova: big room with double bed,2483556,Aline,PATRAIX,PATRAIX,39.46039,-0.39117,Private room,21,3,105,2021-12-08,0.92,3,70,4,
508758,Centrico  y cuidado  en Valencia,2507964,Rosa,EXTRAMURS,ARRANCAPINS,39.47032,-0.38787,Private room,46,2,3,2019-06-19,0.07,1,88,0,
522347,LAST ANTI- CRISIS PRICE ROOM BALCON,2751768,Maryel,CIUTAT VELLA,LA SEU,39.47515,-0.37672,Private room,29,2,384,2020-03-02,3.38,3,0,0,
524523,"Best Location: Mestalla, Single Bed, Free Coffee",140702,Miguel,EL PLA DEL REAL,EXPOSICIO,39.47639,-0.36467,Private room,29,2,250,2021-12-08,2.19,3,356,29,
530706,Céntrico y acogedor apartamento new WIFI,2605658,Carolina,CIUTAT VELLA,EL PILAR,39.47367,-0.38179,Entire home/apt,50,1,71,2021-09-12,0.61,1,160,6,
538813,Crisis Price! Apt.great wiews 39€,1512611,Lula & Luna,ALGIROS,LA CARRASCA,39.47833,-0.35356,Entire home/apt,54,3,36,2021-10-15,0.31,4,64,8,
538964,CASA  EN LA PLAYA DE VALENCIA,2647255,Jose Luis,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.473778,-0.328224,Entire home/apt,100,7,4,2021-08-28,0.14,1,172,3,
556620,Cozy room in the center,2736688,Begoña,LA SAIDIA,TRINITAT,39.48489,-0.3686,Private room,26,3,105,2021-12-06,1.14,2,249,18,
556631,The Library - Old Valencian House,1917691,Francesca,CIUTAT VELLA,EL PILAR,39.47232,-0.38036,Entire home/apt,98,3,83,2021-12-08,0.81,1,276,2,VT-40674-V
559966,El Carmen-Mercado-Lonja-Wifi house,1580666,Jaime Y Elena,CIUTAT VELLA,EL MERCAT,39.47383,-0.38028,Entire home/apt,65,4,48,2017-03-04,0.42,1,68,0,
579273,Mercat Central Apartment wifi+bikes,2849128,Ferran,CIUTAT VELLA,EL PILAR,39.47227,-0.38272,Entire home/apt,46,2,241,2021-10-25,2.39,1,264,29,VT-46067-V
595233,Valencia desing new loft lake view.,2940808,Juan,CAMPANAR,SANT PAU,39.47451,-0.4087,Entire home/apt,54,3,285,2021-09-30,2.67,1,292,28,VT-44610-V
612457,CENTRO DE VALENCIA.PLAZA DE TOROS,806645,Maria Jesus,EXTRAMURS,LA ROQUETA,39.46773,-0.37844,Entire home/apt,34,1,179,2021-11-07,1.57,6,302,23,
633762,Apto Loft Torres de Serranos,3155089,Francisco,CIUTAT VELLA,LA SEU,39.4787,-0.37599,Entire home/apt,77,2,167,2021-11-11,1.62,6,305,35,V-33840-V
657794,HIP AND TRENDY APARTMENT,1145189,Maria,QUATRE CARRERES,EN CORTS,39.45585,-0.37265,Entire home/apt,68,2,166,2021-11-07,1.48,3,7,10,
663047,Wonderful Penthouse. Parking. MONTHLY RENTALS,3095064,Veronica,CAMINS AL GRAU,PENYA-ROJA,39.46358,-0.35514,Entire home/apt,95,30,14,2020-03-13,0.20,1,262,0,
671096,Bright room with private bathroom,3400551,Vincent,L'EIXAMPLE,RUSSAFA,39.46034,-0.37743,Private room,40,2,1,2018-03-19,0.02,1,88,0,
672551,Centro Ciudad 5 Habitaciones 250m2.,3410950,Raquel,CIUTAT VELLA,EL PILAR,39.47409,-0.38381,Entire home/apt,231,2,190,2021-11-21,1.73,1,298,17,VT-37977-V
681002,Ciudad de las Ciencias! Habitacion,3467642,Iriana,QUATRE CARRERES,CIUTAT DE LES ARTS I DE LES CIENCIES,39.45875,-0.35764,Entire home/apt,27,1,241,2021-12-06,2.27,1,129,54,
681925,"Very Central, Stunning Views, Sunny Terrace, Wifi!",3462415,Manuel,CIUTAT VELLA,EL MERCAT,39.47321,-0.38044,Entire home/apt,89,2,678,2021-12-04,6.04,1,251,61,VT-38165-V
682219,FALLA Apartment wifi & terrace next,219476,Toni,LA SAIDIA,SANT ANTONI,39.48725,-0.37403,Entire home/apt,58,2,61,2021-08-14,0.57,2,82,3,VT-31465-V
685153,"OFFER! Centrical, Clean and Terrace Ruzafa 6pax",1363520,Mª Angeles,QUATRE CARRERES,MALILLA,39.45528,-0.37583,Entire home/apt,139,4,25,2021-10-04,0.24,1,80,3,VT 374519 V
688130,Beautiful 4 bedroom appartment WIFI,3512981,Mari Carmen,EL PLA DEL REAL,MESTALLA,39.47291,-0.35376,Entire home/apt,261,4,68,2021-12-08,0.62,1,319,6,
698472,Your nest in Valencia with wifi,3580428,Begoña Y Quique,POBLATS MARITIMS,EL GRAU,39.45993,-0.33699,Entire home/apt,54,4,212,2021-08-28,1.99,1,0,6,VT-36.875-V
714886,Golf course and beach flat+wifi,3701192,Adriana,POBLATS DEL SUD,EL PERELLONET,39.30483,-0.29189,Entire home/apt,75,2,111,2021-10-18,1.04,3,224,16,VT-33997-V
716081,Ático muy luminoso en Ruzafa,3690047,Macarena,L'EIXAMPLE,RUSSAFA,39.46005,-0.37687,Entire home/apt,90,31,15,2021-10-01,0.20,7,192,2,
719547,Nice apartment in Valencia´s beach,3204897,Jennifer,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47251,-0.32925,Entire home/apt,71,2,13,2021-11-25,0.13,6,210,6,AT34420A
720307,Bonito apartamento en pleno centro,3717753,Paul,EXTRAMURS,EL BOTANIC,39.47573,-0.38542,Entire home/apt,41,2,188,2021-11-20,1.82,1,166,17,
724380,"penthouse in the 16th S building ,",3744401,Jose,CIUTAT VELLA,EL MERCAT,39.47436,-0.3809,Entire home/apt,103,3,96,2021-11-09,1.19,2,82,11,
739558,Calm Apartment in Valencia  VT-38435-V,3789085,Manuel Vicente,QUATRE CARRERES,MONT-OLIVET,39.45828,-0.36719,Entire home/apt,56,3,37,2021-11-07,0.42,1,286,7,VT-38435-V
747069,Alquilo habitación con dos camas,3920707,Ana,L'EIXAMPLE,RUSSAFA,39.46036,-0.37257,Private room,25,2,170,2021-12-12,1.53,2,333,38,
747076,habitación céntrica de matrimonio,3920707,Ana,L'EIXAMPLE,RUSSAFA,39.46118,-0.37218,Private room,25,1,309,2021-12-09,2.90,2,349,49,
760857,Cozy rooftop flat with garden terrace.,372326,Sandro And BB,CIUTAT VELLA,EL MERCAT,39.47305,-0.38039,Entire home/apt,78,14,123,2021-11-08,1.37,2,181,9,
772380,Charming loft in Plaza Redonda -1,4075514,Alicia,CIUTAT VELLA,EL MERCAT,39.47391,-0.37675,Entire home/apt,74,2,196,2021-12-07,1.82,5,196,15,VT-34649-V
776819,Our Sunny Penthouse. Stay!!!,4096931,Jose,CIUTAT VELLA,EL CARME,39.47668,-0.37992,Entire home/apt,59,3,313,2021-11-27,2.90,3,334,17,
782199,Single and nice room next to La Marina!,3204897,Jennifer,POBLATS MARITIMS,EL GRAU,39.4608,-0.33432,Private room,22,6,9,2021-12-02,0.11,6,124,4,
782942,Charming loft in Plaza Redonda -2,4075514,Alicia,CIUTAT VELLA,EL MERCAT,39.47384,-0.37677,Entire home/apt,73,2,193,2021-12-08,1.84,5,173,14,VT-34650-V
793674,A WINDOW TO INFINITY,4081508,Mak,POBLATS MARITIMS,LA MALVA-ROSA,39.47661,-0.32603,Private room,29,3,134,2021-11-29,1.25,1,309,6,
814174,Apartamento entero en estación AVE Valencia,4278441,Rafa,EXTRAMURS,ARRANCAPINS,39.46179,-0.38395,Entire home/apt,32,4,84,2018-09-09,1.20,1,77,0,
832274,Live in the Heart of downtown+WIFI,4356813,Laura Y Lucia,CIUTAT VELLA,SANT FRANCESC,39.47039,-0.37314,Entire home/apt,58,3,256,2021-11-30,2.34,2,231,13,VT-38489-V
846465,malvarrosa-patacon beach apartament,4419946,Carlos,POBLATS MARITIMS,LA MALVA-ROSA,39.48295,-0.32973,Entire home/apt,65,7,1,2013-07-01,0.01,1,365,0,
852911,Private room with own bathroom,3813918,Guillermo,L'EIXAMPLE,RUSSAFA,39.45832,-0.37453,Private room,25,16,20,2015-07-08,0.21,1,155,0,
853840,Sun Studio City Center @ Top Location-Nice Balcony,2361433,Raúl,CIUTAT VELLA,EL MERCAT,39.47234,-0.3775,Entire home/apt,76,2,81,2021-11-25,0.98,2,97,12,VT-38806-V
870353,25' walking to downtown - comfy & sunny flat -WiFi,4586701,Fátima,PATRAIX,FAVARA,39.45543,-0.39485,Entire home/apt,46,2,29,2021-12-06,0.27,1,59,9,VT-34118-V E
873348,Center City 6/8pers 3 bedrooms + small terrace. A,508042,Carmen,CIUTAT VELLA,EL PILAR,39.47574,-0.38224,Entire home/apt,142,2,86,2021-10-24,0.81,6,202,1,31814
880307,Completely renovated sunny apartmen,4655487,Oscar,JESUS,LA RAIOSA,39.45987,-0.38732,Entire home/apt,45,31,96,2020-08-08,0.90,1,6,0,
896304,Penthouse on the beach//wifi,2570450,Morten,POBLATS DEL SUD,EL PERELLONET,39.29884,-0.28764,Entire home/apt,60,2,170,2021-12-07,1.61,1,300,31,
904675,Cozy and sunny flat. for 1-2 People,4839579,Alejandro,CAMINS AL GRAU,ALBORS,39.46926,-0.35437,Entire home/apt,75,10,55,2021-08-31,0.52,2,171,2,VT-37169-V
909800,I rent luxury flat Valencia(Spain),4877564,Andrea,POBLATS MARITIMS,EL GRAU,39.46157,-0.33124,Entire home/apt,40,360,0,,,1,365,0,
927457,New heart of the center Loft+WIFI,4356813,Laura Y Lucia,CIUTAT VELLA,SANT FRANCESC,39.46949,-0.37353,Entire home/apt,58,3,325,2021-12-06,3.03,2,257,25,VT-38490-V
929005,sunny single bedroom city centre,5001171,Tony,L'EIXAMPLE,RUSSAFA,39.46041,-0.37373,Private room,30,1,36,2021-12-05,0.51,1,269,13,
943191,SleepinginValencia CHILL OUT,6300090,Sleeping In Valencia,L'EIXAMPLE,RUSSAFA,39.46374,-0.37136,Entire home/apt,30,2,334,2020-02-28,3.14,2,1,0,VT-33766-V
949370,Apto junto ciudad las Artes playa,5147403,Juan Antonio,CAMINS AL GRAU,ALBORS,39.46618,-0.35174,Entire home/apt,89,2,0,,,1,0,0,
953223,Modern apartment in the city center,5174605,Irene,L'EIXAMPLE,RUSSAFA,39.46409,-0.37361,Entire home/apt,77,1,97,2021-07-10,0.92,1,0,4,
955937,design loft+wifi+sunny terrace,5194762,Sergio,CAMPANAR,SANT PAU,39.47578,-0.39926,Entire home/apt,199,2,152,2021-08-04,1.43,1,362,1,VT-38235-V
960147,your house in the center of valencia,4678441,Manuel,CIUTAT VELLA,EL CARME,39.47753,-0.37966,Entire home/apt,54,2,179,2021-11-28,1.73,1,303,22,VT-37416-V
962394,"A step away from all, 2 bdrms. 3-5 pers. Center. A",508042,Carmen,CIUTAT VELLA,EL PILAR,39.47567,-0.38217,Entire home/apt,98,2,22,2019-04-08,0.21,6,213,0,31812
969359,"Port, Beach, City of Arts & Science",5128253,Yulia,POBLATS MARITIMS,NATZARET,39.44833,-0.33492,Entire home/apt,44,2,201,2021-11-28,1.89,2,32,19,
970809,luxury apartment in the city center,5305009,Javier,CIUTAT VELLA,EL MERCAT,39.47376,-0.37578,Entire home/apt,70,3,41,2021-11-12,0.41,2,313,4,VT-37899-V
972805,Exclusive attic apartment,5318547,Serafin Y Maribel,CIUTAT VELLA,SANT FRANCESC,39.46955,-0.3728,Entire home/apt,160,30,20,2021-12-14,0.19,2,152,3,
983548,Flat next to Train Station & Subway,1120386,Ignacio,EXTRAMURS,LA ROQUETA,39.46527,-0.3801,Entire home/apt,60,3,640,2021-12-11,5.99,1,339,81,VT-36327-V
993282,1 Bdr. APARTMENT CENTER VALENCIA,5456718,Carla,EXTRAMURS,LA ROQUETA,39.46614,-0.38086,Entire home/apt,45,3,63,2021-11-29,0.64,1,266,19,
995182,ART GALLERY APARTMENT IN THE CENTER,5318547,Serafin Y Maribel,CIUTAT VELLA,SANT FRANCESC,39.47062,-0.37194,Entire home/apt,157,3,212,2021-12-06,2.05,2,162,22,VT-36511-V
999874,Quiet in the heart of the city (only for Girls),2484419,Maite,L'EIXAMPLE,RUSSAFA,39.46195,-0.37166,Private room,15,60,6,2019-10-31,0.07,2,232,0,
1040499,SUNNY APARTMENT IN RUZAFA-DOWNTOWN,5352316,Paco,L'EIXAMPLE,RUSSAFA,39.46252,-0.37633,Entire home/apt,104,4,37,2020-08-30,0.39,1,0,0,VT-34289-V
1043431,Ático con terrazas en el carmen,3269596,Victor,CIUTAT VELLA,EL MERCAT,39.47344,-0.37836,Entire home/apt,79,5,347,2021-12-03,3.34,2,176,26,VT-36806-V
1044279,MATRIMONIAL ROOM+BATH+WIFI+SUBWAY,5748418,María,L'OLIVERETA,NOU MOLES,39.4688,-0.39257,Private room,37,2,19,2021-12-06,0.19,1,339,2,
1048051,In the very center of Valencia,3859309,Cristina,CIUTAT VELLA,SANT FRANCESC,39.4699,-0.37228,Entire home/apt,60,2,268,2021-12-05,2.55,1,230,13,
1075422,LOVELY APARTMENT IN VALENCIA,806645,Maria Jesus,PATRAIX,SAFRANAR,39.46145,-0.39847,Entire home/apt,36,30,45,2020-08-15,0.48,6,259,0,
1076404,Centric cozy apartment,2869421,Miguel Ángel,EXTRAMURS,ARRANCAPINS,39.46676323190938,-0.3837639949339968,Entire home/apt,50,2,172,2021-12-06,1.64,1,318,20,VT-42121-V
1103471,Apto. Benimaclet con Wifi,6060427,Mº José,BENIMACLET,BENIMACLET,39.48519,-0.36202,Entire home/apt,58,2,81,2021-11-07,0.78,1,264,9,VT-32844-V
1114098,"Sunny, Cute Apt Historic Centre 35e",1512611,Lula & Luna,CIUTAT VELLA,EL MERCAT,39.47355,-0.38043,Entire home/apt,74,3,11,2021-11-15,0.11,4,356,3,
1115934,Next to Valencia center,6124572,María Vicenta,PATRAIX,PATRAIX,39.46459,-0.39105,Entire home/apt,60,4,159,2021-12-08,1.55,1,349,8,
1133635,Planta Baja en Unifamiliar  junto al mar,6218943,Jordi,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46959,-0.32917,Entire home/apt,60,2,58,2021-08-26,0.74,1,312,2,VT-39343-V
1147656,FAMILY-GOOD VIEWS-SW.POOL-FREE WIFI,6258307,Isabel,CAMPANAR,SANT PAU,39.49026,-0.40344,Entire home/apt,90,5,175,2021-12-08,1.70,1,224,16,VT-38032-v
1151087,Cozy Loft Duplex in Cathedral area - WiFi,6308930,Denise,CIUTAT VELLA,LA SEU,39.47739,-0.37275,Entire home/apt,83,3,109,2021-11-29,1.05,1,0,5,VT-43072-V
1162150,DOWNTOWN APARTMENT FOR SHORT-TERM RENTAL VALENCIA,2037083,Isabel,CIUTAT VELLA,EL MERCAT,39.47456,-0.37949,Entire home/apt,79,7,49,2020-12-15,0.47,19,209,0,Nº de registro Consellería de Turismo: VT-33781-V
1174149,FLAT VERY CLOSE TO CENTER,5701507,Inma,LA SAIDIA,MORVEDRE,39.48097,-0.37567,Entire home/apt,70,5,10,2017-01-04,0.11,1,358,0,
1191980,ROOM PERFECT AND BETTER COMFORT,6516174,Grego,L'EIXAMPLE,RUSSAFA,39.46085,-0.37638,Private room,34,1,240,2021-11-25,2.31,3,355,28,
1196931,"Apartment in downtown, Ruzafa.WIFI",6113411,"Belén, Antón Y Joan",L'EIXAMPLE,RUSSAFA,39.46156,-0.37626,Entire home/apt,43,10,110,2021-10-18,1.07,1,234,2,
1213185,Close to beach and university (UPV and UV),6622836,María,ALGIROS,L'ILLA PERDUDA,39.46766,-0.33682,Entire home/apt,60,2,92,2020-08-16,0.90,1,0,0,
1220708,BEST DEAL TO STAY IN VALENCIA WIFI!,3264741,Clara,LA SAIDIA,SANT ANTONI,39.49138,-0.37427,Entire home/apt,50,14,177,2021-11-16,1.74,1,18,4,
1245001,COSY BEDROOM CRISIS ADPATED&WIFI,2751768,Maryel,CIUTAT VELLA,LA SEU,39.47525,-0.37671,Private room,29,2,337,2020-03-12,3.28,3,201,0,
1254536,Apartment historic center valecia,5331828,Pallmi,CIUTAT VELLA,EL CARME,39.47865,-0.38307,Entire home/apt,75,3,157,2021-11-21,1.59,4,365,10,VT42472V
1255912,Apartment next to the Turia Gardens,6841170,Gema,CAMINS AL GRAU,PENYA-ROJA,39.46339,-0.35666,Entire home/apt,60,30,22,2020-08-16,0.24,1,46,0,VT38135-V
1263619,Open White Loft by CuldeSac,6879501,Mónica,CIUTAT VELLA,EL PILAR,39.47109,-0.38169,Entire home/apt,107,3,86,2021-12-08,0.84,1,156,14,
1284226,Valencia close to the town centre and Ruzafa,5412339,Oscar,JESUS,LA RAIOSA,39.45694,-0.38459,Entire home/apt,66,4,74,2021-07-30,0.74,1,275,2,
1308898,BUBBLE CARO FLAT- City Center- :D,7115413,Elena,CIUTAT VELLA,EL CARME,39.48005,-0.38036,Entire home/apt,79,2,281,2021-12-08,2.76,1,284,34,VT-36275-V
1329697,Penthouse in Valencia-Benimaclet,7214346,Maite,BENIMACLET,BENIMACLET,39.48435,-0.35948,Entire home/apt,58,2,192,2021-11-22,2.06,1,304,27,
1331704,Trendy apartment in down town. WiFi,5824416,F.,L'EIXAMPLE,RUSSAFA,39.46139,-0.37657,Entire home/apt,44,2,116,2021-12-08,1.14,1,250,13,VT-44536-V
1381562,"Céntrico, moderno y a buen precio",7481013,Jesus,CIUTAT VELLA,EL CARME,39.47938,-0.3816,Entire home/apt,86,3,215,2021-12-06,2.22,1,307,32,VT-45016-V
